request_id,requested_service,requested_problem,customer_latitude,customer_longitude,worker_id,worker_name,worker_skill,worker_experience,worker_rating,worker_workload,worker_availability,worker_latitude,worker_longitude,distance_km,skill_match,distance_score,experience_score,rating_score,availability_score,workload_score,successful_match
R0001,Cleaning,Bathroom Cleaning,28.637382,76.949141,W0918,Sunil Yadav,Cleaning,2,3.3,3,1,28.58021,76.899841,7.97,1,0.11148272017837237,0.1,0.6599999999999999,1,0.7,1
R0001,Cleaning,Bathroom Cleaning,28.637382,76.949141,W0387,Ravi Agarwal,Cleaning,1,3.2,3,1,29.131972,77.779809,97.8,1,0.010121457489878543,0.05,0.64,1,0.7,1
R0001,Cleaning,Bathroom Cleaning,28.637382,76.949141,W0799,Pankaj Gupta,Cleaning,14,4.8,6,1,29.174896,77.646124,90.42,1,0.010938525486764383,0.7,0.96,1,0.4,1
R0001,Cleaning,Bathroom Cleaning,28.637382,76.949141,W0404,Vikas Sharma,Cleaning,6,3.2,7,1,28.889871,77.04503,29.59,1,0.032690421706440015,0.3,0.64,1,0.30000000000000004,1
R0001,Cleaning,Bathroom Cleaning,28.637382,76.949141,W0674,Arun Gupta,Cleaning,8,3.5,2,1,28.553709,76.811313,16.36,1,0.0576036866359447,0.4,0.7,1,0.8,1
R0001,Cleaning,Bathroom Cleaning,28.637382,76.949141,W0356,Vikas Kumar,Cleaning,9,4.1,1,1,28.447156,77.076769,24.55,1,0.03913894324853229,0.45,0.82,1,0.9,0
R0001,Cleaning,Bathroom Cleaning,28.637382,76.949141,W0036,Anil Gupta,Cleaning,4,4.7,8,1,28.680668,76.945158,4.83,1,0.17152658662092624,0.2,0.9400000000000001,1,0.19999999999999996,1
R0001,Cleaning,Bathroom Cleaning,28.637382,76.949141,W0375,Vivek Sharma,Gardening,10,4.5,6,1,29.145447,77.266324,64.38,0,0.015295197308045275,0.5,0.9,1,0.4,1
R0001,Cleaning,Bathroom Cleaning,28.637382,76.949141,W0553,Suresh Patel,Plumbing,14,4.3,10,1,28.794864,77.445975,51.52,0,0.01904036557501904,0.7,0.86,1,0.0,0
R0001,Cleaning,Bathroom Cleaning,28.637382,76.949141,W0282,Anil Singh,Carpentry,7,4.4,6,1,28.793129,77.732604,78.34,0,0.012603982858583312,0.35,0.8800000000000001,1,0.4,0
R0002,Painting,Furniture Painting,28.974743,77.585925,W0565,Anil Gupta,Painting,5,3.0,7,0,29.075086,77.18928,40.15,1,0.024301336573511544,0.25,0.6,0,0.30000000000000004,0
