worker_id,name,skill,experience,rating,workload,availability,latitude,longitude
W0001,Arun Mishra,Painting,17,3.7,8,1,28.508227,77.272012
W0002,Arun Gupta,Carpentry,6,3.4,1,1,28.613568,77.107222
W0003,Mohit Kumar,Gardening,2,3.8,7,1,28.701854,77.306128
W0004,Mohit Verma,Carpentry,12,4.6,6,1,28.496527,77.609808
W0005,Vikas Joshi,Electrical,6,4.3,3,1,28.82918,77.532576
W0006,Rajesh Patel,Carpentry,18,3.9,0,1,29.095892,77.065598
W0007,Karan Agarwal,Gardening,16,3.3,8,0,28.723112,77.438081
W0008,Mohit Singh,Painting,4,3.2,5,1,28.497673,76.813988
W0009,Rohit Gupta,Gardening,5,3.1,7,0,28.971826,77.478404
W0010,Karan Agarwal,Electrical,14,4.1,6,0,28.506192,77.433545
W0011,Pankaj Yadav,Painting,16,4.0,2,1,28.406808,76.831939
W0012,Vikas Agarwal,Plumbing,7,4.2,7,1,29.162866,76.867167
W0013,Pankaj Sharma,Cleaning,9,3.6,10,1,28.441575,77.245944
W0014,Arun Singh,Cleaning,20,3.5,10,1,28.663247,77.29472
W0015,Suresh Yadav,Cleaning,10,3.1,2,1,28.466725,77.680786
W0016,Anil Singh,Electrical,8,3.2,4,1,28.723195,77.39208
W0017,Amit Verma,Cleaning,2,3.6,5,1,29.003677,76.800128
W0018,Karan Yadav,Carpentry,11,4.5,2,1,28.93728,76.932635
W0019,Manoj Verma,Plumbing,10,5.0,5,0,29.18764,77.060973
W0020,Pankaj Singh,Gardening,9,3.7,3,1,28.657549,77.107539
W0021,Deepak Kumar,Cleaning,4,4.1,6,1,29.13954,77.517126
W0022,Anil Sharma,Carpentry,5,4.2,0,1,28.553936,77.484601
W0023,Rohit Mishra,Plumbing,14,4.5,7,1,28.520558,77.100091
W0024,Karan Singh,Cleaning,12,4.5,10,0,28.941846,77.486703
W0025,Ravi Agarwal,Gardening,5,3.6,8,1,29.168498,77.514326
W0026,Anil Patel,Plumbing,15,4.4,0,1,29.022152,77.494991
W0027,Arun Singh,Carpentry,5,4.1,8,0,28.794542,77.437167
W0028,Deepak Gupta,Cleaning,7,4.4,2,1,28.478911,77.559106
W0029,Deepak Kumar,Painting,2,4.0,3,1,28.710966,77.221694
W0030,Karan Mishra,Plumbing,7,3.9,5,0,28.950896,77.597876
W0031,Pankaj Gupta,Painting,6,4.1,5,0,28.865561,77.051392
